start,end,length_steps,duration_minutes
2024-05-03 01:10:00+00:00,2024-05-03 13:00:00+00:00,72,720.0
2024-05-03 19:20:00+00:00,2024-05-04 08:30:00+00:00,80,800.0
2024-05-04 22:50:00+00:00,2024-05-05 02:30:00+00:00,23,230.0
2024-05-05 08:50:00+00:00,2024-05-05 09:00:00+00:00,2,20.0
2024-05-06 05:10:00+00:00,2024-05-07 06:10:00+00:00,151,1510.0
2024-05-07 12:30:00+00:00,2024-05-07 12:40:00+00:00,2,20.0
2024-05-08 01:30:00+00:00,2024-05-08 08:00:00+00:00,40,400.0
2024-05-09 03:20:00+00:00,2024-05-09 07:40:00+00:00,27,270.0
2024-05-09 23:00:00+00:00,2024-05-10 07:10:00+00:00,50,500.0
2024-05-10 22:40:00+00:00,2024-05-11 02:30:00+00:00,24,240.0
2024-05-11 22:50:00+00:00,2024-05-12 01:20:00+00:00,16,160.0
2024-05-13 01:00:00+00:00,2024-05-13 07:20:00+00:00,39,390.0
2024-05-13 22:50:00+00:00,2024-05-13 23:50:00+00:00,7,70.0
2024-05-14 06:10:00+00:00,2024-05-14 07:10:00+00:00,7,70.0
2024-05-14 23:10:00+00:00,2024-05-15 08:10:00+00:00,55,550.0
2024-05-15 23:20:00+00:00,2024-05-16 01:00:00+00:00,11,110.0
2024-05-16 07:20:00+00:00,2024-05-16 08:20:00+00:00,7,70.0
2024-05-16 22:00:00+00:00,2024-05-17 06:10:00+00:00,50,500.0
2024-05-17 12:30:00+00:00,2024-05-17 22:10:00+00:00,59,590.0
2024-05-18 04:30:00+00:00,2024-05-18 10:00:00+00:00,34,340.0
2024-05-19 00:50:00+00:00,2024-05-19 09:20:00+00:00,52,520.0
2024-05-20 00:30:00+00:00,2024-05-20 09:10:00+00:00,53,530.0
2024-05-20 23:00:00+00:00,2024-05-21 09:20:00+00:00,63,630.0
2024-05-21 21:20:00+00:00,2024-05-22 05:50:00+00:00,52,520.0
2024-05-22 22:40:00+00:00,2024-05-23 03:10:00+00:00,28,280.0
2024-05-23 22:10:00+00:00,2024-05-24 10:40:00+00:00,76,760.0
2024-05-25 01:00:00+00:00,2024-05-25 07:50:00+00:00,42,420.0
2024-05-25 23:50:00+00:00,2024-05-26 04:50:00+00:00,31,310.0
2024-05-28 03:20:00+00:00,2024-05-28 07:10:00+00:00,24,240.0
2024-05-29 03:40:00+00:00,2024-05-29 10:40:00+00:00,43,430.0
2024-05-29 23:30:00+00:00,2024-05-30 00:40:00+00:00,8,80.0
2024-05-30 07:00:00+00:00,2024-05-30 07:50:00+00:00,6,60.0
2024-05-31 02:30:00+00:00,2024-05-31 10:50:00+00:00,51,510.0
2024-05-31 22:30:00+00:00,2024-06-01 01:10:00+00:00,17,170.0
2024-06-01 07:30:00+00:00,2024-06-01 13:50:00+00:00,39,390.0
2024-06-01 22:20:00+00:00,2024-06-02 04:00:00+00:00,35,350.0
2024-06-02 10:20:00+00:00,2024-06-02 12:40:00+00:00,15,150.0
2024-06-02 23:50:00+00:00,2024-06-03 07:50:00+00:00,49,490.0
2024-06-03 22:40:00+00:00,2024-06-04 07:50:00+00:00,56,560.0
2024-06-05 00:30:00+00:00,2024-06-05 07:30:00+00:00,43,430.0
2024-06-05 21:40:00+00:00,2024-06-06 06:20:00+00:00,53,530.0
2024-06-06 23:00:00+00:00,2024-06-07 06:00:00+00:00,43,430.0
2024-06-07 23:10:00+00:00,2024-06-08 04:00:00+00:00,30,300.0
2024-06-09 00:00:00+00:00,2024-06-09 03:20:00+00:00,21,210.0
2024-06-10 02:50:00+00:00,2024-06-10 07:40:00+00:00,30,300.0
2024-06-10 21:50:00+00:00,2024-06-11 02:40:00+00:00,30,300.0
2024-06-11 22:30:00+00:00,2024-06-12 00:30:00+00:00,13,130.0
2024-06-12 06:50:00+00:00,2024-06-12 07:40:00+00:00,6,60.0
2024-06-13 00:40:00+00:00,2024-06-13 07:30:00+00:00,42,420.0
2024-06-13 23:20:00+00:00,2024-06-14 01:30:00+00:00,14,140.0
2024-06-14 07:50:00+00:00,2024-06-14 22:40:00+00:00,90,900.0
2024-06-15 05:00:00+00:00,2024-06-15 07:50:00+00:00,18,180.0
2024-06-15 23:20:00+00:00,2024-06-16 07:00:00+00:00,47,470.0
2024-06-16 21:40:00+00:00,2024-06-17 04:00:00+00:00,39,390.0
2024-06-18 04:20:00+00:00,2024-06-18 07:10:00+00:00,18,180.0
2024-06-18 20:50:00+00:00,2024-06-19 04:10:00+00:00,45,450.0
2024-06-19 10:30:00+00:00,2024-06-19 15:20:00+00:00,30,300.0
2024-06-19 23:10:00+00:00,2024-06-20 02:20:00+00:00,20,200.0
2024-06-22 00:10:00+00:00,2024-06-22 05:20:00+00:00,32,320.0
2024-06-22 22:20:00+00:00,2024-06-23 04:20:00+00:00,37,370.0
2024-06-23 23:40:00+00:00,2024-06-24 01:20:00+00:00,11,110.0
2024-06-24 22:30:00+00:00,2024-06-25 05:10:00+00:00,41,410.0
2024-06-26 04:50:00+00:00,2024-06-26 07:10:00+00:00,15,150.0
2024-06-26 23:40:00+00:00,2024-06-27 04:10:00+00:00,28,280.0
2024-06-27 22:50:00+00:00,2024-06-28 08:40:00+00:00,60,600.0
2024-06-28 23:40:00+00:00,2024-06-29 04:50:00+00:00,32,320.0
2024-06-29 23:20:00+00:00,2024-06-30 01:40:00+00:00,15,150.0
2024-06-30 08:00:00+00:00,2024-06-30 11:50:00+00:00,24,240.0
2024-06-30 21:40:00+00:00,2024-07-01 02:10:00+00:00,28,280.0
2024-07-01 08:30:00+00:00,2024-07-01 09:00:00+00:00,4,40.0
2024-07-01 22:40:00+00:00,2024-07-02 08:10:00+00:00,58,580.0
2024-07-02 22:10:00+00:00,2024-07-03 09:10:00+00:00,67,670.0
2024-07-03 23:20:00+00:00,2024-07-03 23:20:00+00:00,1,10.0
2024-07-04 05:40:00+00:00,2024-07-04 10:30:00+00:00,30,300.0
2024-07-04 22:10:00+00:00,2024-07-04 23:10:00+00:00,7,70.0
2024-07-05 05:30:00+00:00,2024-07-05 08:50:00+00:00,21,210.0
2024-07-06 00:00:00+00:00,2024-07-06 02:20:00+00:00,15,150.0
2024-07-06 22:20:00+00:00,2024-07-07 04:20:00+00:00,37,370.0
2024-07-08 00:20:00+00:00,2024-07-08 05:20:00+00:00,31,310.0
2024-07-08 23:20:00+00:00,2024-07-08 23:50:00+00:00,4,40.0
2024-07-09 06:10:00+00:00,2024-07-09 07:50:00+00:00,11,110.0
2024-07-09 22:20:00+00:00,2024-07-10 05:10:00+00:00,42,420.0
2024-07-10 11:30:00+00:00,2024-07-10 11:40:00+00:00,2,20.0
2024-07-11 00:20:00+00:00,2024-07-11 07:30:00+00:00,44,440.0
2024-07-12 03:40:00+00:00,2024-07-12 09:30:00+00:00,36,360.0
2024-07-13 05:00:00+00:00,2024-07-13 07:50:00+00:00,18,180.0
2024-07-14 05:00:00+00:00,2024-07-14 07:00:00+00:00,13,130.0
2024-07-15 00:10:00+00:00,2024-07-15 07:10:00+00:00,43,430.0
2024-07-15 23:20:00+00:00,2024-07-16 02:40:00+00:00,21,210.0
2024-07-16 23:00:00+00:00,2024-07-17 00:30:00+00:00,10,100.0
2024-07-17 06:50:00+00:00,2024-07-17 08:50:00+00:00,13,130.0
2024-07-17 23:00:00+00:00,2024-07-18 05:10:00+00:00,38,380.0
2024-07-18 22:40:00+00:00,2024-07-19 06:30:00+00:00,48,480.0
2024-07-19 21:50:00+00:00,2024-07-20 07:50:00+00:00,61,610.0
2024-07-20 23:30:00+00:00,2024-07-21 08:30:00+00:00,55,550.0
2024-07-21 23:00:00+00:00,2024-07-22 06:10:00+00:00,44,440.0
2024-07-22 22:00:00+00:00,2024-07-23 02:10:00+00:00,26,260.0
2024-07-23 21:50:00+00:00,2024-07-24 06:00:00+00:00,50,500.0
2024-07-24 23:30:00+00:00,2024-07-25 04:30:00+00:00,31,310.0
2024-07-25 22:40:00+00:00,2024-07-25 23:00:00+00:00,3,30.0
2024-07-26 05:20:00+00:00,2024-07-26 17:10:00+00:00,72,720.0
2024-07-26 23:30:00+00:00,2024-07-27 10:20:00+00:00,66,660.0
2024-07-27 23:20:00+00:00,2024-07-28 05:50:00+00:00,40,400.0
2024-07-29 00:20:00+00:00,2024-07-29 07:30:00+00:00,44,440.0
2024-07-30 07:20:00+00:00,2024-07-30 08:00:00+00:00,5,50.0
2024-07-30 22:30:00+00:00,2024-07-31 01:50:00+00:00,21,210.0
2024-07-31 23:30:00+00:00,2024-08-01 03:10:00+00:00,23,230.0
2024-08-01 09:30:00+00:00,2024-08-01 12:30:00+00:00,19,190.0
2024-08-02 00:00:00+00:00,2024-08-02 07:30:00+00:00,46,460.0
2024-08-02 21:40:00+00:00,2024-08-03 05:50:00+00:00,50,500.0
2024-08-04 04:00:00+00:00,2024-08-04 10:00:00+00:00,37,370.0
2024-08-04 23:30:00+00:00,2024-08-05 08:00:00+00:00,52,520.0
2024-08-05 22:10:00+00:00,2024-08-06 07:30:00+00:00,57,570.0
2024-08-06 23:20:00+00:00,2024-08-06 23:20:00+00:00,1,10.0
2024-08-07 05:40:00+00:00,2024-08-07 07:50:00+00:00,14,140.0
2024-08-07 23:40:00+00:00,2024-08-08 00:50:00+00:00,8,80.0
2024-08-08 07:10:00+00:00,2024-08-08 08:30:00+00:00,9,90.0
2024-08-09 03:20:00+00:00,2024-08-09 08:10:00+00:00,30,300.0
2024-08-09 22:20:00+00:00,2024-08-10 04:40:00+00:00,39,390.0
2024-08-10 22:50:00+00:00,2024-08-11 07:00:00+00:00,50,500.0
2024-08-11 23:50:00+00:00,2024-08-12 07:50:00+00:00,49,490.0
2024-08-12 22:30:00+00:00,2024-08-13 03:30:00+00:00,31,310.0
2024-08-13 21:30:00+00:00,2024-08-14 08:10:00+00:00,65,650.0
2024-08-14 22:30:00+00:00,2024-08-14 22:40:00+00:00,2,20.0
2024-08-15 05:00:00+00:00,2024-08-15 07:40:00+00:00,17,170.0
2024-08-15 20:00:00+00:00,2024-08-15 20:40:00+00:00,5,50.0
2024-08-16 03:00:00+00:00,2024-08-16 07:50:00+00:00,30,300.0
2024-08-17 02:00:00+00:00,2024-08-17 09:30:00+00:00,46,460.0
2024-08-17 21:50:00+00:00,2024-08-18 04:30:00+00:00,41,410.0
2024-08-18 10:50:00+00:00,2024-08-18 11:50:00+00:00,7,70.0
2024-08-18 22:50:00+00:00,2024-08-19 05:10:00+00:00,39,390.0
2024-08-19 22:50:00+00:00,2024-08-20 08:00:00+00:00,56,560.0
2024-08-20 22:10:00+00:00,2024-08-20 22:20:00+00:00,2,20.0
2024-08-21 04:40:00+00:00,2024-08-21 07:40:00+00:00,19,190.0
2024-08-21 23:00:00+00:00,2024-08-22 02:50:00+00:00,24,240.0
2024-08-22 22:30:00+00:00,2024-08-23 04:20:00+00:00,36,360.0
2024-08-23 23:40:00+00:00,2024-08-24 07:40:00+00:00,49,490.0
2024-08-24 19:30:00+00:00,2024-08-24 22:50:00+00:00,21,210.0
2024-08-25 05:10:00+00:00,2024-08-25 08:20:00+00:00,20,200.0
2024-08-25 22:00:00+00:00,2024-08-26 01:00:00+00:00,19,190.0
2024-08-26 07:20:00+00:00,2024-08-26 08:00:00+00:00,5,50.0
2024-08-26 21:00:00+00:00,2024-08-26 22:00:00+00:00,7,70.0
2024-08-27 04:20:00+00:00,2024-08-27 08:10:00+00:00,24,240.0
2024-08-27 19:30:00+00:00,2024-08-27 23:30:00+00:00,25,250.0
2024-08-28 05:50:00+00:00,2024-08-28 08:10:00+00:00,15,150.0
2024-08-28 22:50:00+00:00,2024-08-29 06:10:00+00:00,45,450.0
2024-08-29 22:30:00+00:00,2024-08-30 02:10:00+00:00,23,230.0
2024-08-31 03:50:00+00:00,2024-08-31 08:20:00+00:00,28,280.0
2024-08-31 22:20:00+00:00,2024-09-01 07:00:00+00:00,53,530.0
2024-09-01 21:50:00+00:00,2024-09-02 01:30:00+00:00,23,230.0
2024-09-02 07:50:00+00:00,2024-09-02 08:10:00+00:00,3,30.0
2024-09-02 21:20:00+00:00,2024-09-03 05:40:00+00:00,51,510.0
2024-09-03 20:30:00+00:00,2024-09-04 01:20:00+00:00,30,300.0
2024-09-04 07:40:00+00:00,2024-09-04 11:30:00+00:00,24,240.0
2024-09-04 22:10:00+00:00,2024-09-05 08:30:00+00:00,63,630.0
2024-09-06 03:00:00+00:00,2024-09-06 22:30:00+00:00,118,1180.0
2024-09-07 04:50:00+00:00,2024-09-07 07:40:00+00:00,18,180.0
2024-09-07 22:30:00+00:00,2024-09-08 04:20:00+00:00,36,360.0
2024-09-08 10:40:00+00:00,2024-09-09 09:20:00+00:00,137,1370.0
2024-09-10 01:10:00+00:00,2024-09-10 10:00:00+00:00,54,540.0
2024-09-10 21:30:00+00:00,2024-09-11 03:30:00+00:00,37,370.0
2024-09-11 09:50:00+00:00,2024-09-11 13:10:00+00:00,21,210.0
2024-09-11 22:40:00+00:00,2024-09-12 08:20:00+00:00,59,590.0
2024-09-13 00:00:00+00:00,2024-09-13 08:50:00+00:00,54,540.0
2024-09-13 22:30:00+00:00,2024-09-14 08:10:00+00:00,59,590.0
2024-09-14 22:10:00+00:00,2024-09-15 02:50:00+00:00,29,290.0
2024-09-15 22:40:00+00:00,2024-09-17 09:20:00+00:00,209,2090.0
2024-09-17 19:10:00+00:00,2024-09-18 00:00:00+00:00,30,300.0
2024-09-18 06:20:00+00:00,2024-09-18 08:50:00+00:00,16,160.0
2024-09-18 21:20:00+00:00,2024-09-18 22:30:00+00:00,8,80.0
2024-09-19 04:50:00+00:00,2024-09-19 08:50:00+00:00,25,250.0
2024-09-19 21:40:00+00:00,2024-09-20 08:30:00+00:00,66,660.0
2024-09-20 19:50:00+00:00,2024-09-21 02:40:00+00:00,42,420.0
2024-09-21 19:20:00+00:00,2024-09-22 06:30:00+00:00,68,680.0
2024-09-23 00:40:00+00:00,2024-09-23 12:20:00+00:00,71,710.0
2024-09-23 18:40:00+00:00,2024-09-24 09:20:00+00:00,89,890.0
2024-09-24 15:50:00+00:00,2024-09-24 19:40:00+00:00,24,240.0
2024-09-25 02:00:00+00:00,2024-09-26 13:10:00+00:00,212,2120.0
2024-09-26 19:30:00+00:00,2024-09-27 08:50:00+00:00,81,810.0
2024-09-27 18:50:00+00:00,2024-09-28 08:30:00+00:00,83,830.0
2024-09-28 20:50:00+00:00,2024-09-29 04:00:00+00:00,44,440.0
2024-09-30 00:50:00+00:00,2024-09-30 14:00:00+00:00,80,800.0
2024-09-30 20:40:00+00:00,2024-10-01 08:30:00+00:00,72,720.0
2024-10-01 14:50:00+00:00,2024-10-01 17:20:00+00:00,16,160.0
2024-10-01 23:40:00+00:00,2024-10-02 15:40:00+00:00,97,970.0
2024-10-02 22:00:00+00:00,2024-10-03 15:10:00+00:00,104,1040.0
2024-10-03 21:30:00+00:00,2024-10-04 10:30:00+00:00,79,790.0
2024-10-04 16:50:00+00:00,2024-10-05 08:40:00+00:00,96,960.0
2024-10-06 00:50:00+00:00,2024-10-06 10:00:00+00:00,56,560.0
2024-10-06 21:00:00+00:00,2024-10-06 23:30:00+00:00,16,160.0
2024-10-07 05:50:00+00:00,2024-10-08 10:10:00+00:00,171,1710.0
2024-10-08 16:30:00+00:00,2024-10-10 09:30:00+00:00,247,2470.0
2024-10-10 15:50:00+00:00,2024-10-11 08:30:00+00:00,101,1010.0
2024-10-11 20:50:00+00:00,2024-10-11 22:00:00+00:00,8,80.0
2024-10-12 04:20:00+00:00,2024-10-12 11:20:00+00:00,43,430.0
2024-10-13 02:50:00+00:00,2024-10-13 09:50:00+00:00,43,430.0
2024-10-13 21:10:00+00:00,2024-10-14 04:30:00+00:00,45,450.0
2024-10-14 10:50:00+00:00,2024-10-15 11:40:00+00:00,150,1500.0
2024-10-15 18:00:00+00:00,2024-10-16 10:00:00+00:00,97,970.0
2024-10-16 19:50:00+00:00,2024-10-16 21:40:00+00:00,12,120.0
2024-10-17 04:00:00+00:00,2024-10-17 16:20:00+00:00,75,750.0
2024-10-17 22:40:00+00:00,2024-10-19 13:00:00+00:00,231,2310.0
2024-10-19 19:20:00+00:00,2024-10-21 08:10:00+00:00,222,2220.0
2024-10-21 23:00:00+00:00,2024-10-22 10:00:00+00:00,67,670.0
2024-10-22 18:00:00+00:00,2024-10-22 21:40:00+00:00,23,230.0
2024-10-23 04:00:00+00:00,2024-10-23 08:50:00+00:00,30,300.0
2024-10-24 00:20:00+00:00,2024-10-24 18:30:00+00:00,110,1100.0
2024-10-25 00:50:00+00:00,2024-10-25 09:50:00+00:00,55,550.0
2024-10-26 00:10:00+00:00,2024-10-26 13:40:00+00:00,82,820.0
2024-10-26 20:00:00+00:00,2024-10-26 20:10:00+00:00,2,20.0
2024-10-27 02:30:00+00:00,2024-10-29 11:30:00+00:00,343,3430.0
2024-10-29 17:50:00+00:00,2024-10-30 23:20:00+00:00,178,1780.0
2024-10-31 06:10:00+00:00,2024-10-31 11:50:00+00:00,35,350.0
2024-10-31 18:10:00+00:00,2024-11-02 21:00:00+00:00,306,3060.0
2024-11-03 03:20:00+00:00,2024-11-03 09:20:00+00:00,37,370.0
2024-11-03 18:50:00+00:00,2024-11-04 04:00:00+00:00,56,560.0
2024-11-04 18:20:00+00:00,2024-11-07 09:50:00+00:00,382,3820.0
2024-11-07 16:10:00+00:00,2024-11-09 10:20:00+00:00,254,2540.0
2024-11-09 16:40:00+00:00,2024-11-10 14:50:00+00:00,134,1340.0
2024-11-10 21:10:00+00:00,2024-11-12 21:00:00+00:00,288,2880.0
2024-11-13 06:50:00+00:00,2024-11-13 08:40:00+00:00,12,120.0
2024-11-13 15:00:00+00:00,2024-11-17 22:20:00+00:00,621,6210.0
2024-11-18 04:40:00+00:00,2024-11-21 13:30:00+00:00,486,4860.0
2024-11-21 19:50:00+00:00,2024-11-21 23:50:00+00:00,25,250.0
2024-11-22 06:10:00+00:00,2024-11-22 21:00:00+00:00,90,900.0
