start,end,length_steps,duration_minutes
2024-06-06 11:30:00+00:00,2024-06-06 17:20:00+00:00,36,360.0
2024-06-07 11:10:00+00:00,2024-06-07 15:20:00+00:00,26,260.0
2024-06-08 10:10:00+00:00,2024-06-08 16:10:00+00:00,37,370.0
2024-06-09 10:10:00+00:00,2024-06-09 15:40:00+00:00,34,340.0
2024-06-10 11:40:00+00:00,2024-06-10 15:30:00+00:00,24,240.0
2024-06-11 11:30:00+00:00,2024-06-11 16:20:00+00:00,30,300.0
2024-06-13 11:20:00+00:00,2024-06-13 17:30:00+00:00,38,380.0
2024-06-14 15:50:00+00:00,2024-06-14 18:00:00+00:00,14,140.0
2024-06-15 13:40:00+00:00,2024-06-15 18:40:00+00:00,31,310.0
2024-06-16 13:20:00+00:00,2024-06-16 15:30:00+00:00,14,140.0
2024-06-17 14:20:00+00:00,2024-06-17 16:10:00+00:00,12,120.0
2024-06-19 16:10:00+00:00,2024-06-19 17:40:00+00:00,10,100.0
2024-06-20 11:20:00+00:00,2024-06-20 13:20:00+00:00,13,130.0
2024-06-21 15:40:00+00:00,2024-06-21 15:40:00+00:00,1,10.0
2024-06-22 13:10:00+00:00,2024-06-22 13:30:00+00:00,3,30.0
2024-06-24 11:30:00+00:00,2024-06-24 16:20:00+00:00,30,300.0
2024-06-25 11:40:00+00:00,2024-06-25 18:40:00+00:00,43,430.0
2024-06-26 11:20:00+00:00,2024-06-26 14:40:00+00:00,21,210.0
2024-06-27 11:00:00+00:00,2024-06-27 16:10:00+00:00,32,320.0
2024-06-28 11:30:00+00:00,2024-06-28 17:30:00+00:00,37,370.0
2024-06-29 10:10:00+00:00,2024-06-29 16:20:00+00:00,38,380.0
2024-07-02 12:30:00+00:00,2024-07-02 15:50:00+00:00,21,210.0
2024-07-03 13:00:00+00:00,2024-07-03 17:20:00+00:00,27,270.0
2024-07-04 14:20:00+00:00,2024-07-04 14:50:00+00:00,4,40.0
2024-07-05 11:40:00+00:00,2024-07-05 18:10:00+00:00,40,400.0
2024-07-07 09:50:00+00:00,2024-07-07 12:50:00+00:00,19,190.0
2024-07-08 11:30:00+00:00,2024-07-08 15:30:00+00:00,25,250.0
2024-07-09 12:50:00+00:00,2024-07-09 16:00:00+00:00,20,200.0
2024-07-11 13:20:00+00:00,2024-07-11 16:20:00+00:00,19,190.0
2024-07-12 14:10:00+00:00,2024-07-12 18:20:00+00:00,26,260.0
2024-07-13 12:00:00+00:00,2024-07-13 18:30:00+00:00,40,400.0
2024-07-14 10:40:00+00:00,2024-07-14 18:20:00+00:00,47,470.0
2024-07-15 13:20:00+00:00,2024-07-15 18:30:00+00:00,32,320.0
2024-07-16 11:40:00+00:00,2024-07-16 12:50:00+00:00,8,80.0
2024-07-17 11:40:00+00:00,2024-07-17 17:40:00+00:00,37,370.0
2024-07-18 12:40:00+00:00,2024-07-18 16:50:00+00:00,26,260.0
2024-07-19 13:10:00+00:00,2024-07-19 15:30:00+00:00,15,150.0
2024-07-20 02:40:00+00:00,2024-07-20 18:20:00+00:00,95,950.0
2024-07-21 12:50:00+00:00,2024-07-21 17:20:00+00:00,28,280.0
2024-07-22 12:50:00+00:00,2024-07-22 16:10:00+00:00,21,210.0
2024-07-23 14:00:00+00:00,2024-07-23 15:50:00+00:00,12,120.0
2024-07-24 11:10:00+00:00,2024-07-24 18:20:00+00:00,44,440.0
2024-07-25 12:10:00+00:00,2024-07-25 16:40:00+00:00,28,280.0
2024-07-27 15:00:00+00:00,2024-07-27 17:40:00+00:00,17,170.0
2024-07-28 12:30:00+00:00,2024-07-28 15:40:00+00:00,20,200.0
2024-07-29 11:50:00+00:00,2024-07-29 16:10:00+00:00,27,270.0
2024-07-30 11:10:00+00:00,2024-07-30 16:20:00+00:00,32,320.0
2024-07-31 11:20:00+00:00,2024-07-31 14:30:00+00:00,20,200.0
2024-08-01 18:00:00+00:00,2024-08-01 18:00:00+00:00,1,10.0
2024-08-03 11:30:00+00:00,2024-08-03 13:30:00+00:00,13,130.0
2024-08-04 17:40:00+00:00,2024-08-04 18:10:00+00:00,4,40.0
2024-08-05 11:50:00+00:00,2024-08-05 15:50:00+00:00,25,250.0
2024-08-06 10:40:00+00:00,2024-08-06 18:00:00+00:00,45,450.0
2024-08-07 11:10:00+00:00,2024-08-07 11:40:00+00:00,4,40.0
2024-08-08 12:00:00+00:00,2024-08-08 14:30:00+00:00,16,160.0
2024-08-09 14:30:00+00:00,2024-08-09 16:40:00+00:00,14,140.0
2024-08-10 11:40:00+00:00,2024-08-10 17:20:00+00:00,35,350.0
2024-08-11 11:20:00+00:00,2024-08-11 16:40:00+00:00,33,330.0
2024-08-12 11:10:00+00:00,2024-08-12 16:20:00+00:00,32,320.0
2024-08-13 11:10:00+00:00,2024-08-13 15:20:00+00:00,26,260.0
2024-08-14 09:20:00+00:00,2024-08-14 09:50:00+00:00,4,40.0
2024-08-15 11:00:00+00:00,2024-08-15 14:20:00+00:00,21,210.0
2024-08-16 11:20:00+00:00,2024-08-16 15:40:00+00:00,27,270.0
2024-08-18 11:00:00+00:00,2024-08-18 17:40:00+00:00,41,410.0
2024-08-19 11:20:00+00:00,2024-08-19 16:20:00+00:00,31,310.0
2024-08-20 10:40:00+00:00,2024-08-20 10:50:00+00:00,2,20.0
2024-08-21 11:30:00+00:00,2024-08-21 17:40:00+00:00,38,380.0
2024-08-22 12:00:00+00:00,2024-08-22 17:00:00+00:00,31,310.0
2024-08-23 11:30:00+00:00,2024-08-23 17:40:00+00:00,38,380.0
2024-08-24 11:20:00+00:00,2024-08-24 12:20:00+00:00,7,70.0
2024-08-25 12:50:00+00:00,2024-08-25 16:50:00+00:00,25,250.0
2024-08-26 12:40:00+00:00,2024-08-26 15:30:00+00:00,18,180.0
2024-08-27 10:50:00+00:00,2024-08-27 15:20:00+00:00,28,280.0
2024-08-28 10:40:00+00:00,2024-08-28 17:10:00+00:00,40,400.0
2024-08-29 13:10:00+00:00,2024-08-29 16:40:00+00:00,22,220.0
2024-08-30 12:00:00+00:00,2024-08-30 16:30:00+00:00,28,280.0
2024-08-31 12:50:00+00:00,2024-08-31 17:10:00+00:00,27,270.0
2024-09-01 13:20:00+00:00,2024-09-01 17:30:00+00:00,26,260.0
2024-09-02 12:00:00+00:00,2024-09-02 15:30:00+00:00,22,220.0
2024-09-03 12:50:00+00:00,2024-09-03 14:40:00+00:00,12,120.0
2024-09-04 14:10:00+00:00,2024-09-04 16:10:00+00:00,13,130.0
2024-09-05 08:50:00+00:00,2024-09-05 14:50:00+00:00,37,370.0
2024-09-06 10:30:00+00:00,2024-09-06 13:50:00+00:00,21,210.0
2024-09-07 04:50:00+00:00,2024-09-07 17:20:00+00:00,76,760.0
2024-09-09 01:30:00+00:00,2024-09-09 14:00:00+00:00,76,760.0
2024-09-10 14:30:00+00:00,2024-09-10 16:20:00+00:00,12,120.0
2024-09-11 13:00:00+00:00,2024-09-11 13:40:00+00:00,5,50.0
2024-09-12 07:30:00+00:00,2024-09-12 10:40:00+00:00,20,200.0
2024-09-13 12:10:00+00:00,2024-09-13 16:20:00+00:00,26,260.0
2024-09-14 11:50:00+00:00,2024-09-14 12:30:00+00:00,5,50.0
2024-09-15 12:30:00+00:00,2024-09-15 14:20:00+00:00,12,120.0
2024-09-16 04:00:00+00:00,2024-09-17 13:20:00+00:00,201,2010.0
2024-09-18 07:00:00+00:00,2024-09-18 16:10:00+00:00,56,560.0
2024-09-19 08:30:00+00:00,2024-09-19 13:20:00+00:00,30,300.0
2024-09-20 09:10:00+00:00,2024-09-20 14:40:00+00:00,34,340.0
2024-09-21 10:00:00+00:00,2024-09-21 13:20:00+00:00,21,210.0
2024-09-22 09:00:00+00:00,2024-09-22 16:10:00+00:00,44,440.0
2024-09-24 03:10:00+00:00,2024-09-24 11:00:00+00:00,48,480.0
2024-09-25 02:50:00+00:00,2024-09-25 12:10:00+00:00,57,570.0
2024-09-26 02:00:00+00:00,2024-09-26 12:40:00+00:00,65,650.0
2024-09-26 21:20:00+00:00,2024-09-27 08:20:00+00:00,67,670.0
2024-09-28 05:30:00+00:00,2024-09-28 06:50:00+00:00,9,90.0
2024-09-29 15:10:00+00:00,2024-09-29 16:30:00+00:00,9,90.0
2024-09-30 22:00:00+00:00,2024-10-01 08:00:00+00:00,61,610.0
2024-10-02 07:30:00+00:00,2024-10-02 13:40:00+00:00,38,380.0
2024-10-03 07:40:00+00:00,2024-10-03 09:30:00+00:00,12,120.0
2024-10-04 02:10:00+00:00,2024-10-04 11:50:00+00:00,59,590.0
2024-10-04 23:50:00+00:00,2024-10-05 08:10:00+00:00,51,510.0
2024-10-06 15:40:00+00:00,2024-10-06 16:20:00+00:00,5,50.0
2024-10-07 12:30:00+00:00,2024-10-07 14:50:00+00:00,15,150.0
2024-10-07 23:20:00+00:00,2024-10-08 15:00:00+00:00,95,950.0
2024-10-08 22:00:00+00:00,2024-10-09 11:30:00+00:00,82,820.0
2024-10-09 20:20:00+00:00,2024-10-10 11:40:00+00:00,93,930.0
2024-10-11 00:20:00+00:00,2024-10-11 15:40:00+00:00,93,930.0
2024-10-12 12:20:00+00:00,2024-10-12 15:40:00+00:00,21,210.0
2024-10-13 13:10:00+00:00,2024-10-13 15:30:00+00:00,15,150.0
2024-10-15 03:40:00+00:00,2024-10-15 09:30:00+00:00,36,360.0
2024-10-15 21:40:00+00:00,2024-10-16 13:30:00+00:00,96,960.0
2024-10-18 01:50:00+00:00,2024-10-18 15:00:00+00:00,80,800.0
2024-10-19 03:40:00+00:00,2024-10-19 11:10:00+00:00,46,460.0
2024-10-20 01:50:00+00:00,2024-10-20 14:40:00+00:00,78,780.0
2024-10-20 23:30:00+00:00,2024-10-21 13:10:00+00:00,83,830.0
2024-10-22 06:50:00+00:00,2024-10-22 11:50:00+00:00,31,310.0
2024-10-23 07:40:00+00:00,2024-10-23 12:20:00+00:00,29,290.0
2024-10-24 03:50:00+00:00,2024-10-24 13:30:00+00:00,59,590.0
2024-10-25 00:50:00+00:00,2024-10-25 11:40:00+00:00,66,660.0
2024-10-26 10:10:00+00:00,2024-10-26 10:10:00+00:00,1,10.0
2024-10-27 02:30:00+00:00,2024-10-27 14:50:00+00:00,75,750.0
2024-10-28 01:40:00+00:00,2024-10-28 14:50:00+00:00,80,800.0
2024-10-29 00:10:00+00:00,2024-10-29 14:50:00+00:00,89,890.0
2024-10-30 00:10:00+00:00,2024-10-30 10:10:00+00:00,61,610.0
2024-10-31 06:10:00+00:00,2024-10-31 13:10:00+00:00,43,430.0
2024-10-31 20:50:00+00:00,2024-11-02 15:10:00+00:00,255,2550.0
2024-11-03 04:20:00+00:00,2024-11-03 14:40:00+00:00,63,630.0
2024-11-04 10:50:00+00:00,2024-11-04 12:20:00+00:00,10,100.0
2024-11-04 23:10:00+00:00,2024-11-05 08:30:00+00:00,57,570.0
2024-11-05 16:10:00+00:00,2024-11-06 10:50:00+00:00,113,1130.0
2024-11-06 17:10:00+00:00,2024-11-08 11:50:00+00:00,257,2570.0
2024-11-08 18:10:00+00:00,2024-11-10 14:50:00+00:00,269,2690.0
2024-11-10 21:10:00+00:00,2024-11-12 09:30:00+00:00,219,2190.0
2024-11-12 20:00:00+00:00,2024-11-12 21:00:00+00:00,7,70.0
2024-11-13 06:50:00+00:00,2024-11-13 08:40:00+00:00,12,120.0
2024-11-13 15:00:00+00:00,2024-11-17 22:20:00+00:00,621,6210.0
2024-11-18 04:40:00+00:00,2024-11-20 08:20:00+00:00,311,3110.0
2024-11-20 16:00:00+00:00,2024-11-21 11:30:00+00:00,118,1180.0
2024-11-21 19:10:00+00:00,2024-11-21 23:50:00+00:00,29,290.0
2024-11-22 06:10:00+00:00,2024-11-22 10:40:00+00:00,28,280.0
2024-11-23 07:00:00+00:00,2024-11-23 13:50:00+00:00,42,420.0
2024-11-23 23:00:00+00:00,2024-11-24 09:30:00+00:00,64,640.0
2024-11-24 22:10:00+00:00,2024-11-25 12:40:00+00:00,88,880.0
2024-11-26 02:40:00+00:00,2024-11-26 13:10:00+00:00,64,640.0
2024-11-26 22:50:00+00:00,2024-11-27 13:50:00+00:00,91,910.0
2024-11-27 21:30:00+00:00,2024-11-28 12:40:00+00:00,92,920.0
2024-11-29 00:40:00+00:00,2024-11-29 14:30:00+00:00,84,840.0
2024-11-30 04:00:00+00:00,2024-11-30 13:00:00+00:00,55,550.0
2024-12-01 08:10:00+00:00,2024-12-01 15:10:00+00:00,43,430.0
2024-12-01 21:30:00+00:00,2024-12-03 14:20:00+00:00,246,2460.0
2024-12-03 20:40:00+00:00,2024-12-04 11:00:00+00:00,87,870.0
2024-12-04 20:40:00+00:00,2024-12-06 14:20:00+00:00,251,2510.0
2024-12-06 21:40:00+00:00,2024-12-07 06:30:00+00:00,54,540.0
2024-12-07 21:40:00+00:00,2024-12-08 06:30:00+00:00,54,540.0
2024-12-09 04:10:00+00:00,2024-12-09 06:30:00+00:00,15,150.0
2024-12-09 21:50:00+00:00,2024-12-10 06:30:00+00:00,53,530.0
2024-12-10 22:30:00+00:00,2024-12-17 13:10:00+00:00,953,9530.0
2024-12-17 19:30:00+00:00,2024-12-18 12:30:00+00:00,103,1030.0
2024-12-18 22:40:00+00:00,2024-12-19 11:50:00+00:00,80,800.0
2024-12-19 19:40:00+00:00,2024-12-20 14:00:00+00:00,111,1110.0
2024-12-21 03:40:00+00:00,2024-12-22 10:10:00+00:00,184,1840.0
2024-12-22 21:30:00+00:00,2024-12-23 11:30:00+00:00,85,850.0
2024-12-23 20:10:00+00:00,2024-12-24 08:30:00+00:00,75,750.0
2024-12-25 00:00:00+00:00,2024-12-26 09:20:00+00:00,201,2010.0
2024-12-26 18:40:00+00:00,2024-12-27 14:10:00+00:00,118,1180.0
2024-12-27 23:20:00+00:00,2025-01-01 12:50:00+00:00,658,6580.0
2025-01-01 23:50:00+00:00,2025-01-03 14:10:00+00:00,231,2310.0
2025-01-03 23:00:00+00:00,2025-01-04 11:20:00+00:00,75,750.0
2025-01-04 19:10:00+00:00,2025-01-06 11:30:00+00:00,243,2430.0
2025-01-06 20:00:00+00:00,2025-01-06 22:30:00+00:00,16,160.0
2025-01-07 04:50:00+00:00,2025-01-07 11:00:00+00:00,38,380.0
2025-01-07 23:00:00+00:00,2025-01-08 14:20:00+00:00,93,930.0
2025-01-08 21:50:00+00:00,2025-01-11 09:30:00+00:00,359,3590.0
2025-01-11 22:10:00+00:00,2025-01-12 13:20:00+00:00,92,920.0
2025-01-13 03:50:00+00:00,2025-01-13 14:10:00+00:00,63,630.0
2025-01-14 07:50:00+00:00,2025-01-14 13:00:00+00:00,32,320.0
2025-01-15 05:30:00+00:00,2025-01-15 09:50:00+00:00,27,270.0
2025-01-15 23:50:00+00:00,2025-01-16 13:30:00+00:00,83,830.0
2025-01-17 01:00:00+00:00,2025-01-18 14:10:00+00:00,224,2240.0
2025-01-18 23:00:00+00:00,2025-01-19 10:30:00+00:00,70,700.0
2025-01-20 07:10:00+00:00,2025-01-21 17:40:00+00:00,208,2080.0
2025-01-22 00:00:00+00:00,2025-01-22 13:50:00+00:00,84,840.0
2025-01-23 01:50:00+00:00,2025-01-23 11:20:00+00:00,58,580.0
2025-01-24 09:20:00+00:00,2025-01-24 13:50:00+00:00,28,280.0
2025-01-24 21:10:00+00:00,2025-01-25 13:30:00+00:00,99,990.0
2025-01-25 21:20:00+00:00,2025-01-26 14:20:00+00:00,103,1030.0
2025-01-26 22:40:00+00:00,2025-01-28 13:50:00+00:00,236,2360.0
2025-01-29 01:30:00+00:00,2025-01-29 15:30:00+00:00,85,850.0
2025-01-30 05:30:00+00:00,2025-01-30 13:00:00+00:00,46,460.0
2025-01-31 00:40:00+00:00,2025-01-31 10:20:00+00:00,59,590.0
