start,end,length_steps,duration_minutes
2024-03-10 16:30:00+00:00,2024-03-11 08:00:00+00:00,94,940.0
2024-03-11 08:20:00+00:00,2024-03-11 08:30:00+00:00,2,20.0
2024-03-11 08:50:00+00:00,2024-03-11 08:50:00+00:00,1,10.0
2024-03-11 09:10:00+00:00,2024-03-11 09:30:00+00:00,3,30.0
2024-03-11 13:40:00+00:00,2024-03-11 13:40:00+00:00,1,10.0
2024-03-11 14:00:00+00:00,2024-03-11 14:00:00+00:00,1,10.0
2024-03-11 14:30:00+00:00,2024-03-11 14:30:00+00:00,1,10.0
2024-03-11 15:00:00+00:00,2024-03-11 15:00:00+00:00,1,10.0
2024-03-11 15:20:00+00:00,2024-03-11 15:20:00+00:00,1,10.0
2024-03-11 15:40:00+00:00,2024-03-11 15:40:00+00:00,1,10.0
2024-03-11 16:20:00+00:00,2024-03-12 07:20:00+00:00,91,910.0
2024-03-12 07:40:00+00:00,2024-03-12 07:40:00+00:00,1,10.0
2024-03-12 09:50:00+00:00,2024-03-12 10:00:00+00:00,2,20.0
2024-03-12 10:20:00+00:00,2024-03-12 10:30:00+00:00,2,20.0
2024-03-12 13:20:00+00:00,2024-03-12 13:20:00+00:00,1,10.0
2024-03-12 14:20:00+00:00,2024-03-12 14:20:00+00:00,1,10.0
2024-03-12 14:40:00+00:00,2024-03-12 14:40:00+00:00,1,10.0
2024-03-12 15:30:00+00:00,2024-03-12 15:30:00+00:00,1,10.0
2024-03-12 15:50:00+00:00,2024-03-12 16:20:00+00:00,4,40.0
2024-03-12 16:40:00+00:00,2024-03-13 07:50:00+00:00,92,920.0
2024-03-13 08:10:00+00:00,2024-03-13 08:10:00+00:00,1,10.0
2024-03-13 08:30:00+00:00,2024-03-13 08:30:00+00:00,1,10.0
2024-03-13 08:50:00+00:00,2024-03-13 08:50:00+00:00,1,10.0
2024-03-13 09:50:00+00:00,2024-03-13 09:50:00+00:00,1,10.0
