sensor,steps_total,steps_missing,minutes_missing,gaps_count,longest_gap_minutes,coverage_pct
date,83370,0,0.0,0,0.0,100.0
total-pv-generation,83370,53792,537920.0,4514,6420.0,35.477989684538805
total-battery-discharge,83370,62093,620930.0,12488,9890.0,25.521170684898642
total-exported-energy,83370,67835,678350.0,2020,8500.0,18.6338011275039
total-consumed-energy,83370,68538,685380.0,6254,6440.0,17.790572148254768
total-battery-charge,83370,72159,721590.0,2236,6470.0,13.447283195394022
total-imported-energy,83370,72212,722120.0,5673,11400.0,13.383711167086487
